busLine,busTime,complainId,stationId,isJewishHoliday,weekDay,relativeHumidity(%),temperature(Â°C),windSpeed(m/s),rainfall(mm),operator,routeLength,accesible,numberOfStations,weeklyDrives,numberOfLinesStoppingAtStation,dailyNumberOfPassengersAtStation,hour,passengersNumberSum,dailyNumberOfStopsAtStation
2,26/02/2023 9:43,אוטובוס הגיע בזמן,11601,FALSE,0,69,14.1,1,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,10,12,747
25,26/02/2023 12:21,אוטובוס הגיע בזמן,11601,FALSE,0,69,14.1,1,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,12,6,747
16,27/02/2023 12:07,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,12,6,747
34,27/02/2023 12:39,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,17,כן,39,311,39,293.9791667,13,6,747
25,27/02/2023 12:49,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,13,2,747
25,27/02/2023 13:12,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,13,2,747
70,27/02/2023 14:02,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,מטרו,14.6,לא,21,163,39,293.9791667,14,2,747
25,27/02/2023 14:49,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,15,3,747
16,27/02/2023 15:10,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,15,3,747
2,27/02/2023 15:13,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,15,3,747
25,27/02/2023 15:19,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,15,3,747
34,27/02/2023 15:24,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,17,כן,39,311,39,293.9791667,15,3,747
25,27/02/2023 15:35,אוטובוס הגיע בזמן,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,16,9,747
2,27/02/2023 13:29,אוטובוס איחר,11601,FALSE,1,44,24.2,2.3,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,13,2,747
342,28/02/2023 6:32,אוטובוס לא הגיע,11601,FALSE,2,38,17.2,3.5,0,מטרו,51.4,לא,56,62,39,293.9791667,7,1,747
23,28/02/2023 11:44,אוטובוס הגיע ולא עצר,13105,FALSE,2,23,25.1,4,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,12,12,470
470,28/02/2023 10:08,אוטובוס הגיע בזמן,13105,FALSE,2,23,25.1,4,0,אגד,103.9,כן,8,245,29,273.4583333,10,14,470
23,28/02/2023 10:17,אוטובוס הגיע בזמן,13105,FALSE,2,23,25.1,4,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,10,14,470
8,28/02/2023 11:24,אוטובוס הגיע בזמן,13105,FALSE,2,23,25.1,4,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,11,12,470
470,28/02/2023 13:09,אוטובוס הגיע בזמן,13105,FALSE,2,23,25.1,4,0,אגד,103.9,כן,8,245,29,273.4583333,13,2,470
23,28/02/2023 11:44,אוטובוס הגיע ולא עצר,13105,FALSE,2,23,25.1,4,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,12,12,470
12,01/03/2023 13:32,אוטובוס לא הגיע,11292,FALSE,3,16,29.5,1.8,0,דן באר שבע,8.8,כן,26,491,39,293.9791667,14,2,294
25,02/03/2023 4:29,אוטובוס לא הגיע,13518,FALSE,4,43,15.1,1.9,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,4,2,411
12,02/03/2023 7:31,אוטובוס הגיע בזמן,11132,FALSE,4,39,15.2,2,0,דן באר שבע,19.7,כן,47,243,8,80.95833333,8,2,294
12,02/03/2023 7:44,אוטובוס הגיע בזמן,11132,FALSE,4,39,15.2,2,0,דן באר שבע,19.7,כן,47,243,8,80.95833333,8,2,294
12,02/03/2023 7:53,אוטובוס הגיע בזמן,11132,FALSE,4,39,15.2,2,0,דן באר שבע,19.7,כן,47,243,8,80.95833333,8,2,294
11,02/03/2023 7:10,אוטובוס לא הגיע,11132,FALSE,4,39,15.2,2,0,דן באר שבע,19.7,כן,47,243,8,80.95833333,7,2,294
23,02/03/2023 7:16,אוטובוס הגיע בזמן,13105,FALSE,4,22,25.7,2.9,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,7,2,470
470,02/03/2023 9:07,אוטובוס הגיע בזמן,13105,FALSE,4,22,25.7,2.9,0,אגד,103.9,כן,8,245,29,273.4583333,9,1,470
8,02/03/2023 11:14,אוטובוס הגיע בזמן,13105,FALSE,4,22,25.7,2.9,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,11,1,470
23,02/03/2023 10:44,אוטובוס לא הגיע,13105,FALSE,4,22,25.7,2.9,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,11,1,470
67,03/03/2023 8:02,אוטובוס הגיע ולא עצר,11601,FALSE,5,35,18,2.4,0,מטרו,47,לא,31,39,39,293.9791667,8,1,747
65,06/03/2023 13:50,אוטובוס הגיע ולא עצר,13949,TRUE,1,53,19.5,4.2,0,מטרו,85.5,לא,49,53,42,110.5416667,14,2,807
5,06/03/2023 17:11,אוטובוס הגיע ולא עצר,13518,TRUE,1,60,17.9,3.5,0,דן באר שבע,13.6,כן,38,512,7,162.9583333,17,1,411
25,07/03/2023 7:49,אוטובוס לא הגיע,13518,TRUE,2,81,10,2.1,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,8,1,411
16,07/03/2023 7:52,אוטובוס לא הגיע,13518,TRUE,2,81,10,2.1,0,דן באר שבע,11.6,כן,29,302,7,162.9583333,8,1,411
470,07/03/2023 13:09,אוטובוס הגיע ולא עצר,13105,TRUE,2,36,20.3,3.2,0,אגד,103.9,כן,8,245,29,273.4583333,13,1,470
470,08/03/2023 10:39,אוטובוס הגיע ולא עצר,13105,TRUE,3,61,16.3,4,0,אגד,103.9,כן,8,245,29,273.4583333,11,2,470
65,09/03/2023 13:50,אוטובוס לא הגיע,13949,FALSE,4,43,20.5,1.4,0,מטרו,85.5,לא,49,53,42,110.5416667,14,1,807
23,09/03/2023 12:05,אוטובוס הגיע בזמן,13105,FALSE,4,47,19.4,2.6,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,12,1,470
23,09/03/2023 14:20,אוטובוס הגיע בזמן,13105,FALSE,4,47,19.4,2.6,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,14,5,470
470,09/03/2023 16:29,אוטובוס איחר,13105,FALSE,4,47,19.4,2.6,0,אגד,103.9,כן,8,245,29,273.4583333,16,5,470
11,14/03/2023 5:49,אחר,11292,FALSE,2,81,14.6,2.1,0.1,דן באר שבע,19.7,כן,47,243,8,164.0416667,6,1,294
34,19/03/2023 9:33,אוטובוס הגיע ולא עצר,13992,FALSE,0,82,13,4.3,0,דן באר שבע,17,כן,39,311,34,151.2916667,10,13,725
34,19/03/2023 9:33,אוטובוס הגיע ולא עצר,13992,FALSE,0,82,13,4.3,0,דן באר שבע,17,כן,39,311,34,151.2916667,10,13,725
25,19/03/2023 14:05,אוטובוס לא הגיע,13949,FALSE,0,54,17.6,3.6,0,דן באר שבע,16.9,כן,44,434,42,110.5416667,14,3,807
25,19/03/2023 14:20,אוטובוס לא הגיע,13949,FALSE,0,55,17.4,4.1,0,דן באר שבע,16.9,כן,44,434,42,110.5416667,14,3,807
4,19/03/2023 16:11,אחר,13983,FALSE,0,52,17.7,3.9,0,דן באר שבע,19.1,כן,46,460,39,274.5416667,16,5,771
470,19/03/2023 17:09,אוטובוס הגיע ולא עצר,13105,FALSE,0,44,18.5,3.2,0,אגד,103.9,כן,8,245,29,273.4583333,17,15,470
5,20/03/2023 13:52,אוטובוס לא הגיע,13949,FALSE,1,90,11.9,1.5,0,דן באר שבע,13.6,כן,38,512,42,110.5416667,14,5,807
25,20/03/2023 16:03,אוטובוס לא הגיע,11601,FALSE,1,91,12.7,1.7,0.4,דן באר שבע,16.9,כן,44,434,39,293.9791667,16,6,747
23,21/03/2023 8:19,אוטובוס איחר,13105,FALSE,2,98,11.7,1.3,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,8,5,470
470,21/03/2023 10:39,אוטובוס הגיע ולא עצר,13105,FALSE,2,77,15.2,1.8,0,אגד,103.9,כן,8,245,29,273.4583333,11,14,470
16,21/03/2023 11:10,אוטובוס לא הגיע,13949,FALSE,2,72,15.9,1.3,0,דן באר שבע,11.6,כן,29,302,42,110.5416667,11,2,807
16,21/03/2023 11:25,אוטובוס לא הגיע,13949,FALSE,2,70,16.1,2.3,0,דן באר שבע,11.6,כן,29,302,42,110.5416667,11,2,807
24,21/03/2023 11:28,אוטובוס לא הגיע,13518,FALSE,2,70,16.1,2.3,0,דן באר שבע,13.2,כן,33,336,7,162.9583333,11,2,411
16,21/03/2023 12:20,אוטובוס הגיע ולא עצר,13106,FALSE,2,66,16.7,1.9,0,דן באר שבע,11.6,כן,29,302,66,657.2916667,12,2,1104
470,21/03/2023 15:49,אוטובוס הגיע ולא עצר,13105,FALSE,2,63,17.8,3.8,0,אגד,103.9,כן,8,245,29,273.4583333,16,2,470
470,21/03/2023 15:49,אוטובוס הגיע ולא עצר,13105,FALSE,2,63,17.8,3.8,0,אגד,103.9,כן,8,245,29,273.4583333,16,2,470
5,21/03/2023 16:14,אוטובוס לא הגיע,13949,FALSE,2,64,17.5,4.1,0,דן באר שבע,13.6,כן,38,512,42,110.5416667,16,6,807
8,23/03/2023 8:28,אוטובוס לא הגיע,13105,FALSE,4,57,15.3,3.3,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,8,1,470
11,24/03/2023 5:01,אוטובוס לא הגיע,13086,FALSE,5,58,16,2.7,0,דן באר שבע,19.7,כן,47,243,8,110.5416667,5,1,294
16,25/03/2023 13:30,אוטובוס לא הגיע,13949,FALSE,6,81,18.3,2.3,0,דן באר שבע,11.6,כן,29,302,8,110.5416667,14,6,807
11,26/03/2023 17:52,אוטובוס לא הגיע,11601,FALSE,0,69,17.7,4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,18,5,747
10,26/03/2023 17:54,אוטובוס לא הגיע,13992,FALSE,0,69,17.7,4,0,מטרו,11.9,לא,19,168,34,151.2916667,18,5,725
2,26/03/2023 18:14,אוטובוס לא הגיע,11601,FALSE,0,72,17.4,2.8,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,18,5,747
25,27/03/2023 19:39,אוטובוס לא הגיע,13983,FALSE,1,77,16.1,3.1,0,דן באר שבע,16.9,כן,44,434,39,274.5416667,20,1,771
470,28/03/2023 16:39,אוטובוס הגיע ולא עצר,13105,FALSE,2,25,23.5,3.2,0,אגד,103.9,כן,8,245,29,273.4583333,17,1,470
470,30/03/2023 3:49,אוטובוס הגיע ולא עצר,13105,FALSE,4,71,12.2,2.8,0,אגד,103.9,כן,8,245,29,273.4583333,4,2,470
2,02/04/2023 17:53,אוטובוס לא הגיע,13992,FALSE,0,46,21.8,4.8,0,דן באר שבע,16.5,כן,46,391,34,151.2916667,18,1,725
11,03/04/2023 9:57,אוטובוס הגיע ולא עצר,11601,FALSE,1,32,22.8,0.7,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,10,2,747
24,03/04/2023 11:11,אוטובוס הגיע ולא עצר,13106,FALSE,1,24,26,2.6,0,דן באר שבע,13.2,כן,33,336,66,657.2916667,11,2,1104
16,07/04/2023 10:24,אוטובוס לא הגיע,13983,TRUE,5,20,28,2.8,0,דן באר שבע,11.6,כן,29,302,39,274.5416667,10,1,771
34,09/04/2023 17:57,אוטובוס הגיע ולא עצר,11601,TRUE,0,28,27.8,2.8,0,דן באר שבע,17,כן,39,311,39,293.9791667,18,1,747
30,16/04/2023 17:54,אוטובוס הגיע ולא עצר,13992,FALSE,0,59,23.8,3.6,0,מטרו,22.7,לא,24,116,34,151.2916667,18,9,725
5,17/04/2023 7:39,אוטובוס הגיע ולא עצר,13983,FALSE,1,93,16.3,1,0,דן באר שבע,13.6,כן,38,512,39,274.5416667,8,1,771
25,17/04/2023 12:48,אוטובוס לא הגיע,11601,FALSE,1,46,28.9,2,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,13,5,747
11,20/04/2023 6:51,אוטובוס לא הגיע,13086,FALSE,4,91,17.2,3.7,0,דן באר שבע,19.7,כן,47,243,8,110.5416667,7,1,294
25,21/04/2023 6:23,אוטובוס לא הגיע,11601,FALSE,5,89,11.7,1.5,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,6,5,747
11,23/04/2023 6:47,אוטובוס לא הגיע,11601,FALSE,0,88,13.4,1.4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,7,3,747
11,23/04/2023 6:47,אוטובוס לא הגיע,11601,FALSE,0,88,13.4,1.4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,7,3,747
11,23/04/2023 6:47,אוטובוס לא הגיע,11601,FALSE,0,88,13.4,1.4,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,7,3,747
11,23/04/2023 7:17,אוטובוס לא הגיע,11601,FALSE,0,92,13.5,1.6,0,דן באר שבע,19.7,כן,47,243,39,293.9791667,7,9,747
2,24/04/2023 7:29,אוטובוס הגיע ולא עצר,11601,FALSE,1,55,14.6,1.3,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,7,4,747
11,12/05/2023 13:38,אוטובוס הגיע בזמן,13983,FALSE,5,38,27.9,3.8,0,דן באר שבע,19.7,כן,47,243,39,274.5416667,14,2,771
12,12/05/2023 13:43,אוטובוס הגיע בזמן,13086,FALSE,5,38,27.9,3.8,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,14,2,294
5,12/05/2023 13:45,אוטובוס הגיע בזמן,11601,FALSE,5,38,27.9,3.8,0,דן באר שבע,13.6,כן,38,512,39,293.9791667,14,3,747
25,12/05/2023 13:46,אוטובוס הגיע בזמן,13983,FALSE,5,38,27.9,3.8,0,דן באר שבע,16.9,כן,44,434,39,274.5416667,14,3,771
4,12/05/2023 13:49,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,19.1,כן,46,460,7,162.9583333,14,2,411
16,12/05/2023 13:53,אוטובוס הגיע בזמן,11601,FALSE,5,33,28.4,3.9,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,14,2,747
4,12/05/2023 13:57,אוטובוס הגיע בזמן,11601,FALSE,5,33,28.4,3.9,0,דן באר שבע,19.1,כן,46,460,39,293.9791667,14,3,747
25,12/05/2023 14:04,אוטובוס הגיע בזמן,13518,FALSE,5,33,28.4,3.9,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,14,1,411
11,16/05/2023 20:46,אוטובוס הגיע בזמן,13983,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.7,כן,47,243,39,274.5416667,21,2,771
5,16/05/2023 20:46,אוטובוס הגיע בזמן,13983,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.6,כן,38,512,39,274.5416667,21,3,771
5,16/05/2023 20:47,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.6,כן,38,512,7,162.9583333,21,1,411
23,22/02/2023 13:42,אוטובוס הגיע בזמן,11342,FALSE,4,60,16.6,2.9,0,דן באר שבע,12.2,כן,30,252,8,110.5416667,14,1,765
8,23/02/2023 14:18,אוטובוס הגיע בזמן,11342,FALSE,5,60,16.6,2.9,0,דן באר שבע,13.2,כן,39,535,8,110.5416667,14,3,765
24,23/02/2023 14:27,אוטובוס הגיע בזמן,11342,FALSE,5,60,16.6,2.9,0,דן באר שבע,13.2,כן,33,336,8,110.5416667,14,4,765
16,23/02/2023 15:02,אוטובוס הגיע בזמן,11342,FALSE,5,60,16.6,2.9,0,דן באר שבע,11.6,כן,29,302,8,110.5416667,15,3,765
23,22/02/2023 13:43,אוטובוס הגיע בזמן,11342,FALSE,4,60,16.6,2.9,0,דן באר שבע,12.2,כן,30,252,8,110.5416667,14,1,765
8,16/05/2023 20:48,אוטובוס איחר,11342,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.2,כן,39,535,8,110.5416667,21,1,765
6,16/05/2023 20:48,אוטובוס הגיע בזמן,13086,FALSE,2,53,25.9,2.7,0,דן באר שבע,14,כן,14,500,8,110.5416667,21,1,294
4,16/05/2023 20:48,אוטובוס הגיע בזמן,11342,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.1,כן,46,460,8,110.5416667,21,2,765
11,16/05/2023 20:49,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.7,כן,47,243,7,162.9583333,21,3,411
5,16/05/2023 20:49,אוטובוס הגיע בזמן,11342,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.6,כן,38,512,8,110.5416667,21,2,765
4,16/05/2023 20:49,אוטובוס הגיע בזמן,13983,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.1,כן,46,460,39,274.5416667,21,2,771
4,16/05/2023 20:49,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.1,כן,46,460,7,162.9583333,21,1,411
16,16/05/2023 20:50,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,11.6,כן,29,302,7,162.9583333,21,1,411
33,16/05/2023 20:51,אוטובוס הגיע בזמן,11342,FALSE,2,53,25.9,2.7,0,דן באר שבע,15.7,כן,34,305,8,110.5416667,21,1,765
30,16/05/2023 20:51,אוטובוס הגיע בזמן,13106,FALSE,2,53,25.9,2.7,0,מטרו,22.7,לא,24,116,66,657.2916667,21,2,1104
12,16/05/2023 20:51,אוטובוס הגיע בזמן,13086,FALSE,2,53,25.9,2.7,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,21,1,294
12,16/05/2023 20:51,אוטובוס הגיע בזמן,11342,FALSE,2,53,25.9,2.7,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,21,2,765
5,16/05/2023 20:52,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.6,כן,38,512,7,162.9583333,21,1,411
25,16/05/2023 20:53,אוטובוס איחר,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,21,1,411
24,16/05/2023 20:56,אוטובוס הגיע בזמן,13983,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.2,כן,33,336,39,274.5416667,21,1,771
4,16/05/2023 20:57,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.1,כן,46,460,7,162.9583333,21,1,411
24,16/05/2023 20:58,אוטובוס הגיע בזמן,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,13.2,כן,33,336,7,162.9583333,21,3,411
25,16/05/2023 21:00,אוטובוס הגיע בזמן,13983,FALSE,2,53,25.9,2.7,0,דן באר שבע,16.9,כן,44,434,39,274.5416667,21,1,771
25,16/05/2023 21:02,אוטובוס איחר,13518,FALSE,2,53,25.9,2.7,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,21,2,411
47,16/05/2023 21:06,אוטובוס הגיע בזמן,13106,FALSE,2,53,25.9,2.7,0,דן דרום,26.1,לא,32,89,66,657.2916667,21,3,1104
11,16/05/2023 21:06,אוטובוס הגיע בזמן,13086,FALSE,2,53,25.9,2.7,0,דן באר שבע,19.7,כן,47,243,8,110.5416667,21,2,294
10,16/05/2023 21:11,אוטובוס הגיע בזמן,13106,FALSE,2,53,25.9,2.7,0,מטרו,11.9,לא,19,168,66,657.2916667,21,2,1104
6,16/05/2023 21:11,אוטובוס הגיע בזמן,13086,FALSE,2,53,25.9,2.7,0,דן באר שבע,14,כן,14,500,8,110.5416667,21,2,294
250,16/05/2023 21:16,אוטובוס הגיע בזמן,13106,FALSE,2,53,25.9,2.7,0,תעבורה,57.4,לא,29,74,66,657.2916667,21,3,1104
67,17/05/2023 10:01,אוטובוס הגיע בזמן,11601,FALSE,3,36,28.8,1.2,0,מטרו,47,לא,31,39,39,293.9791667,10,1,747
30,17/05/2023 10:01,אוטובוס הגיע בזמן,13106,FALSE,3,36,28.8,1.2,0,מטרו,22.7,לא,24,116,66,657.2916667,10,3,1104
8,17/05/2023 10:01,אוטובוס איחר,13105,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,10,2,470
6,17/05/2023 10:01,אוטובוס הגיע בזמן,13086,FALSE,3,36,28.8,1.2,0,דן באר שבע,14,כן,14,500,8,110.5416667,10,2,294
8,17/05/2023 10:02,אוטובוס איחר,13105,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,10,2,470
5,17/05/2023 10:03,אוטובוס הגיע בזמן,11601,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.6,כן,38,512,39,293.9791667,10,2,747
5,17/05/2023 10:04,אוטובוס איחר,11342,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.6,כן,38,512,8,110.5416667,10,3,765
25,17/05/2023 10:05,אוטובוס איחר,13518,FALSE,3,36,28.8,1.2,0,דן באר שבע,16.9,כן,44,434,7,162.9583333,10,3,411
23,17/05/2023 10:06,אוטובוס הגיע בזמן,13105,FALSE,3,36,28.8,1.2,0,דן באר שבע,12.2,כן,30,252,29,273.4583333,10,2,470
5,17/05/2023 10:07,אוטובוס איחר,13518,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.6,כן,38,512,7,162.9583333,10,2,411
4,17/05/2023 10:08,אוטובוס הגיע בזמן,11342,FALSE,3,36,28.8,1.2,0,דן באר שבע,19.1,כן,46,460,8,110.5416667,10,1,765
16,17/05/2023 10:09,אוטובוס הגיע בזמן,11601,FALSE,3,36,28.8,1.2,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,10,2,747
16,17/05/2023 10:09,אוטובוס איחר,11342,FALSE,3,36,28.8,1.2,0,דן באר שבע,11.6,כן,29,302,8,110.5416667,10,2,765
11,17/05/2023 10:09,אוטובוס הגיע בזמן,13518,FALSE,3,36,28.8,1.2,0,דן באר שבע,19.7,כן,47,243,7,162.9583333,10,2,411
12,17/05/2023 10:10,אוטובוס איחר,11342,FALSE,3,36,29,1.5,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,10,3,765
4,17/05/2023 10:10,אוטובוס הגיע בזמן,13518,FALSE,3,36,28.8,1.2,0,דן באר שבע,19.1,כן,46,460,7,162.9583333,10,3,411
16,17/05/2023 10:11,אוטובוס איחר,13518,FALSE,3,36,28.8,1.2,0,דן באר שבע,11.6,כן,29,302,7,162.9583333,10,2,411
8,17/05/2023 10:13,אוטובוס איחר,13105,FALSE,3,36,28.8,1.2,0,דן באר שבע,13.2,כן,39,535,29,273.4583333,10,3,470
450,17/05/2023 10:41,אוטובוס הגיע בזמן,13106,FALSE,3,33,30.6,1.6,0,גלים,24.7,כן,30,204,66,657.2916667,11,3,1104
24,17/05/2023 10:41,אוטובוס הגיע בזמן,11342,FALSE,3,33,30.6,1.6,0,דן באר שבע,13.2,כן,33,336,8,110.5416667,11,2,765
10,17/05/2023 10:41,אוטובוס הגיע בזמן,13106,FALSE,3,33,30.6,1.6,0,מטרו,11.9,לא,19,168,66,657.2916667,11,1,1104
7,17/05/2023 10:41,אוטובוס איחר,11342,FALSE,3,33,30.6,1.6,0,דן באר שבע,13.2,כן,33,535,8,110.5416667,11,1,765
5,17/05/2023 10:42,אוטובוס הגיע בזמן,11601,FALSE,3,33,30.6,1.6,0,דן באר שבע,13.6,כן,38,512,39,293.9791667,11,1,747
23,17/05/2023 10:43,אוטובוס איחר,11342,FALSE,3,33,30.6,1.6,0,דן באר שבע,12.2,כן,30,252,8,110.5416667,11,1,765
12,17/05/2023 10:44,אוטובוס הגיע בזמן,13086,FALSE,3,33,30.6,1.6,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,11,1,294
2,17/05/2023 10:44,אוטובוס הגיע בזמן,11601,FALSE,3,33,30.6,1.6,0,דן באר שבע,16.5,כן,46,391,39,293.9791667,11,2,747
6,17/05/2023 10:50,אוטובוס הגיע בזמן,13086,FALSE,3,33,30.6,1.6,0,דן באר שבע,14,כן,14,500,8,110.5416667,11,3,294
25,17/05/2023 10:53,אוטובוס הגיע בזמן,11601,FALSE,3,33,30.6,1.6,0,דן באר שבע,16.9,כן,44,434,39,293.9791667,11,3,747
6,17/05/2023 11:00,אוטובוס הגיע בזמן,13086,FALSE,3,32,31.1,1.4,0,דן באר שבע,14,כן,14,500,8,110.5416667,11,3,294
30,17/05/2023 23:07,אוטובוס הגיע בזמן,13106,FALSE,3,53,22,1.1,0,מטרו,22.7,לא,24,116,66,657.2916667,23,2,1104
16,18/05/2023 10:18,אוטובוס הגיע בזמן,11601,FALSE,4,63,24,3.3,0,דן באר שבע,11.6,כן,29,302,39,293.9791667,10,3,747
12,18/05/2023 10:26,אוטובוס הגיע בזמן,13086,FALSE,4,63,24,3.3,0,דן באר שבע,8.8,כן,26,491,8,110.5416667,10,1,294
